date,stock,todayPosition
2021-12-29,GPC,-103482.0
2021-12-29,HSY,-74806.0
2021-12-29,CMG,8150.0
2021-12-29,NKE,85842.0
2021-12-29,NUE,-124820.0
2021-12-29,EQT,-624648.0
2021-12-30,ALLE,-107922.0
2021-12-30,GPC,-102333.0
2021-12-30,HSY,-74474.0
2021-12-30,CMG,8170.0
2021-12-30,NKE,84642.0
2021-12-30,NUE,-124342.0
2021-12-30,EQT,-626566.0
2021-12-31,ALLE,-108587.0
2021-12-31,GPC,-102494.0
2021-12-31,HSY,-74688.0
2021-12-31,CMG,8177.0
2021-12-31,NKE,85293.0
2021-12-31,NUE,-125478.0
2021-12-31,EQT,-648172.0
2022-01-03,ALLE,-107865.0
2022-01-03,GPC,-101895.0
2022-01-03,HSY,-73839.0
2022-01-03,CMG,8172.0
2022-01-03,NKE,85713.0
2022-01-03,NUE,-125148.0
2022-01-03,EQT,-655007.0
2022-01-04,ALLE,-110433.0
2022-01-04,GPC,-103572.0
2022-01-04,HSY,-73938.0
2022-01-04,CMG,0.0
2022-01-04,NKE,86754.0
2022-01-04,NUE,-126377.0
2022-01-04,EQT,-654707.0
2022-01-05,ALLE,-107898.0
2022-01-05,GPC,-101793.0
2022-01-05,HSY,-73312.0
2022-01-05,NKE,85857.0
2022-01-05,NUE,-122027.0
2022-01-05,EQT,-637470.0
2022-01-06,ALLE,-110476.0
2022-01-06,GPC,-102819.0
2022-01-06,HSY,-72516.0
2022-01-06,NKE,88048.0
2022-01-06,NUE,0.0
2022-01-06,EQT,-658631.0
2022-01-07,ALLE,-111546.0
2022-01-07,GPC,-101822.0
2022-01-07,HSY,-72674.0
2022-01-07,CMG,8814.0
2022-01-07,NKE,88710.0
2022-01-07,EQT,-655909.0
2022-01-10,ALLE,-112814.0
2022-01-10,GPC,-102819.0
2022-01-10,HSY,-72942.0
2022-01-10,CMG,8941.0
2022-01-10,NKE,91010.0
2022-01-10,NUE,-124831.0
2022-01-10,EQT,-626291.0
2022-01-11,ALLE,-114203.0
2022-01-11,GPC,-103489.0
2022-01-11,HSY,-73395.0
2022-01-11,CMG,9256.0
2022-01-11,NKE,94960.0
2022-01-11,NUE,-127710.0
2022-01-11,EQT,-621118.0
2022-01-12,ALLE,-111948.0
2022-01-12,GPC,0.0
2022-01-12,HSY,-73626.0
2022-01-12,CMG,9033.0
2022-01-12,NKE,95048.0
2022-01-12,NUE,128886.0
2022-01-12,EQT,-607127.0
2022-01-13,ALLE,-111974.0
2022-01-13,GPC,-102856.0
2022-01-13,HSY,-72945.0
2022-01-13,CMG,9193.0
2022-01-13,NKE,93856.0
2022-01-13,NUE,-124526.0
2022-01-13,EQT,-579307.0
2022-01-14,ALLE,-113270.0
2022-01-14,GPC,-102774.0
2022-01-14,HSY,-72612.0
2022-01-14,CMG,9477.0
2022-01-14,NKE,95500.0
2022-01-14,NUE,-126736.0
2022-01-14,EQT,0.0
2022-01-18,ALLE,-114781.0
2022-01-18,GPC,-103437.0
2022-01-18,HSY,-71596.0
2022-01-18,CMG,9536.0
2022-01-18,NKE,96408.0
2022-01-18,NUE,-128909.0
2022-01-19,ALLE,-115309.0
2022-01-19,GPC,-104603.0
2022-01-19,HSY,-72033.0
2022-01-19,CMG,9668.0
2022-01-19,NKE,97215.0
2022-01-19,NUE,-133886.0
2022-01-20,ALLE,-116210.0
2022-01-20,GPC,-106332.0
2022-01-20,HSY,-71557.0
2022-01-20,CMG,9734.0
2022-01-20,NKE,98448.0
2022-01-20,NUE,0.0
2022-01-20,EQT,-643500.0
2022-01-21,ALLE,-118308.0
2022-01-21,GPC,-108636.0
