,stock,date,0
522,CMG,2021-11-10,-307640.279198
523,CMG,2021-11-11,-31410.13169800027
524,CMG,2021-11-12,-369757.59034
525,CMG,2021-11-15,179732.12166000012
526,CMG,2021-11-16,92009.93546600002
527,CMG,2021-11-17,168770.94017399984
528,CMG,2021-11-18,212023.79055000033
529,CMG,2021-11-19,194968.71117499945
530,CMG,2021-11-22,-90004.77686900017
531,CMG,2021-12-01,-468726.94249199965
532,CMG,2021-12-02,81666.50176500047
533,CMG,2021-12-03,-170661.8166810011
534,CMG,2021-12-06,280796.0770590005
535,CMG,2021-12-07,782510.9777950001
536,CMG,2021-12-08,233373.10021199984
537,CMG,2021-12-09,179802.3040100007
538,CMG,2021-12-10,11148.008575999498
539,CMG,2021-12-13,252807.61074500086
540,CMG,2021-12-14,113842.39844399893
541,CMG,2021-12-15,-204180.1846289992
542,CMG,2021-12-16,184760.42414099976
543,CMG,2021-12-17,-25191.0
544,CMG,2021-12-20,99783.68484999971
545,CMG,2021-12-21,374505.8669449995
546,CMG,2021-12-22,174503.87241100043
547,CMG,2021-12-23,33292.693359999714
548,CMG,2021-12-27,143533.72798400058
549,CMG,2021-12-28,-107683.45327400032
550,CMG,2021-12-29,-34305.907637000215
551,CMG,2021-12-30,-11104.240449999867
552,CMG,2021-12-31,8430.457168000108
553,CMG,2022-01-03,-470584.6504320003
554,CMG,2022-01-04,-35629.797420000425
555,CMG,2022-01-07,-200870.32843800052
556,CMG,2022-01-10,-482913.992501999
557,CMG,2022-01-11,355463.3567090003
558,CMG,2022-01-12,-246898.1989419998
559,CMG,2022-01-13,-428758.94523600134
560,CMG,2022-01-14,-90147.2718769995
561,CMG,2022-01-18,-193687.05738499982
562,CMG,2022-01-19,-98173.31014000071
563,CMG,2022-01-20,-461041.7338039984
564,CMG,2022-01-21,-419454.9443020006
565,CMG,2022-01-24,408873.4789520005
566,CMG,2022-01-25,-493240.1569090005
567,CMG,2022-01-26,-117544.67825500015
568,CMG,2022-01-27,-141501.90323700078
569,CMG,2022-01-28,689201.8202809999
570,CMG,2022-01-31,771798.2317720011
571,CMG,2022-02-01,265835.06457500014
572,CMG,2022-02-02,-262063.46885099987
573,CMG,2022-02-03,-352223.9185579998
574,CMG,2022-02-04,356784.69295700005
575,CMG,2022-02-07,-293167.109484
576,CMG,2022-02-08,72850.74223699883
577,CMG,2022-02-09,1457449.0064620008
578,CMG,2022-02-10,-292701.5005220003
579,CMG,2022-02-11,-151310.91955699935
580,CMG,2022-02-14,-32956.686756000585
581,CMG,2022-02-18,163124.78538000034
582,CMG,2022-02-22,-140321.04367200035
583,CMG,2022-02-25,188706.8856550005
584,CMG,2022-02-28,250785.8190479997
585,CMG,2022-03-01,-333040.7215799992
586,CMG,2022-03-02,82087.31172599984
587,CMG,2022-03-03,128174.29089799893
588,CMG,2022-03-09,913910.5954040001
589,CMG,2022-03-10,476181.8692240003
590,CMG,2022-03-11,61175.016969999844
591,CMG,2022-03-14,-135275.08064999996
592,CMG,2022-03-18,-190668.27432000014
593,CMG,2022-03-21,428612.07816300046
594,CMG,2022-03-22,-166062.44831299986
595,CMG,2022-03-23,153713.89130200038
596,CMG,2022-03-24,-224211.6728290012
597,CMG,2022-03-25,86086.00237200069
598,CMG,2022-03-28,-171968.18878000032
599,CMG,2022-03-29,-140742.92863399987
600,CMG,2022-03-30,147313.5297450003
601,CMG,2022-03-31,-70433.21493600009
602,CMG,2022-04-01,-108620.99895599969
603,CMG,2022-04-04,-149171.5152170002
604,CMG,2022-04-05,53988.9173039992
605,CMG,2022-04-06,478474.5112520011
606,CMG,2022-04-07,85280.76831200033
607,CMG,2022-04-11,-143328.87747000033
608,CMG,2022-04-12,180711.35833700013
609,CMG,2022-04-14,3953.9750399990385
610,CMG,2022-04-18,-120378.89622999995
611,CMG,2022-04-19,379880.6607530004
612,CMG,2022-04-20,-167654.0181289998
613,CMG,2022-04-21,1066849.0407339998
614,CMG,2022-04-22,103815.49426000091
615,CMG,2022-04-25,443762.0
616,CMG,2022-04-26,-738204.4973479998
617,CMG,2022-04-27,341458.6848359996
618,CMG,2022-04-28,281898.5896649998
619,CMG,2022-05-02,98051.75185000034
620,CMG,2022-05-03,-133324.57149500016
621,CMG,2022-05-04,-128664.42151399965
622,CMG,2022-05-05,-642342.5607259995
623,CMG,2022-05-06,-148191.9181740004
624,CMG,2022-05-09,-818596.4302089994
625,CMG,2022-05-10,485302.35224999965
626,CMG,2022-05-11,-430069.15786499943
627,CMG,2022-05-12,370.38188399918727
628,CMG,2022-05-13,414282.739084
